tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G5300050010803,53005010803,G5300050010705,53005010705,0.0105278796,0.0070254111,0.0065093572,0.007231405,0.0055467512,0.0053333333,0.0065481759,0
G5300050010803,53005010803,G5300050010811,53005010811,0.0002958429,0,0,0,0,0,0,0
G5300050010803,53005010803,G5300050010817,53005010817,0.4381436758,0.6844544096,0.6861269325,0.694214876,0.6794770206,0.676952381,0.6506080449,0.8393782383
G5300050010803,53005010803,G5300050010818,53005010818,0.5487314403,0.3085201794,0.3073637103,0.298553719,0.3149762282,0.3177142857,0.3428437792,0.1606217617
G5300050010803,53005010803,G5300050010819,53005010819,0.0023011614,0,0,0,0,0,0,0
G5300050010805,53005010805,G5300050010819,53005010819,0.494958112,0.4943383471,0.476346912,0.5456716418,0.4202302632,0.4060559006,0.5697874785,0.0434153401
G5300050010805,53005010805,G5300050010820,53005010820,0.504212511,0.5056616529,0.523653088,0.4543283582,0.5797697368,0.5939440994,0.4302125215,0.9565846599
G5300050010805,53005010805,G5300050010901,53005010901,0.000829377,0,0,0,0,0,0,0
G5300050010807,53005010807,G5300050010807,53005010807,0.9996167436,0.9830044365,0.9855320836,0.981638102,0.984181667,0.9846919358,0.9914457147,0.9333333333
G5300050010807,53005010807,G5300050011801,53005011801,0.0003832564,0.0169955635,0.0144679164,0.018361898,0.015818333,0.0153080642,0.0085542853,0.0666666667
G5300050010809,53005010809,G5300050010809,53005010809,0.9926546712,1,1,1,1,1,1,1
G5300050010809,53005010809,G5300050010810,53005010810,0.0015873236,0,0,0,0,0,0,0
G5300050010809,53005010809,G5300050010901,53005010901,0.0057580052,0,0,0,0,0,0,0
G5300050010810,53005010810,G5300050010809,53005010809,0.0100281599,0.0011464247,0.0012821604,0.0007594779,0.0016461892,0.0019001237,0.000207703,0.0054130032
G5300050010810,53005010810,G5300050010810,53005010810,0.9898460882,0.9987943735,0.9986643101,0.9991717094,0.998304058,0.998053774,0.9997235444,0.9945869968
G5300050010810,53005010810,G5300050010811,53005010811,0.0001257519,0.0000592018,0.0000535296,0.0000688127,0.0000497528,0.0000461023,0.0000687526,0
G5300050010811,53005010811,G5300050010810,53005010810,0.0005693172,0.0006352201,0.0006187096,0.0006027823,0.0006016504,0.0005731569,0.0006163822,0
G5300050010811,53005010811,G5300050010811,53005010811,0.9994306828,0.9993647799,0.9993812904,0.9993972177,0.9993983496,0.9994268431,0.9993836178,1
G5300050010813,53005010813,G5300050010810,53005010810,0.0039016369,0.0000392858,0.0000522386,0.0000699284,0.0000513202,0.0000484577,0.0000610791,0
G5300050010813,53005010813,G5300050010815,53005010815,0.8034490845,0.4762797535,0.484564975,0.5020430686,0.453401737,0.4387365671,0.5212019973,0.0968535373
G5300050010813,53005010813,G5300050010816,53005010816,0.1926492786,0.5236809607,0.5153827864,0.497887003,0.5465469428,0.5612149752,0.4787369236,0.9031464627
G5300050010814,53005010814,G5300050010814,53005010814,0.9831244714,1,1,1,1,1,1,1
G5300050010814,53005010814,G5300050011600,53005011600,0.0168755286,0,0,0,0,0,0,0
G5300050010901,53005010901,G5300050010816,53005010816,0.0088498513,0,0,0,0,0,0,0
G5300050010901,53005010901,G5300050010820,53005010820,0.0015506032,0,0,0,0,0,0,0
G5300050010901,53005010901,G5300050010901,53005010901,0.9127586774,0.9593653877,0.9609974425,0.9498825372,0.9570035461,0.9570707071,0.9494451295,0.9612456747
G5300050010901,53005010901,G5300050010902,53005010902,0.0768408681,0.0406346123,0.0390025575,0.0501174628,0.0429964539,0.0429292929,0.0505548705,0.0387543253
G5300050010902,53005010902,G5300050010902,53005010902,1,1,1,1,1,1,1,1
G5300050011001,53005011001,G5300050010901,53005010901,0.0038807865,0.0012060302,0.0013513514,0.0008156607,0.0019502682,0.0018467221,0.0009225092,0.0031023785
G5300050011001,53005011001,G5300050011001,53005011001,0.9961192135,0.9987939698,0.9986486486,0.9991843393,0.9980497318,0.9981532779,0.9990774908,0.9968976215
G5300050011002,53005011002,G5300050011002,53005011002,1,1,1,1,1,1,1,1
G5300050011100,53005011100,G5300050011100,53005011100,1,1,1,1,1,1,1,1
G5300050011200,53005011200,G5300050011201,53005011201,0.5758318528,0.6108512629,0.6116196525,0.61825054,0.5730850316,0.5746393828,0.7459893048,0.5114394662
G5300050011200,53005011200,G5300050011202,53005011202,0.4175717935,0.3891487371,0.3883803475,0.38174946,0.4269149684,0.4253606172,0.2540106952,0.4885605338
G5300050011200,53005011200,G5300050011300,53005011300,0.0065963538,0,0,0,0,0,0,0
G5300050011300,53005011300,G5300050011001,53005011001,0.0000403726,0,0,0,0,0,0,0
G5300050011300,53005011300,G5300050011201,53005011201,0.0000192341,0,0,0,0,0,0,0
G5300050011300,53005011300,G5300050011202,53005011202,0.0000716042,0.0007597011,0.0007624438,0.000869873,0.000631752,0.0005941358,0.0005851761,0.0007015501
G5300050011300,53005011300,G5300050011300,53005011300,0.9955919595,0.9992402989,0.9992375562,0.999130127,0.999368248,0.9994058642,0.9994148239,0.9992984499
G5300050011300,53005011300,G5300050011501,53005011501,0.0042768296,0,0,0,0,0,0,0
G5300050011401,53005011401,G5300050011401,53005011401,1,1,1,1,1,1,1,1
G5300050011402,53005011402,G5300050011402,53005011402,1,1,1,1,1,1,1,1
G5300050011501,53005011501,G5300050011300,53005011300,0.0029360946,0,0,0,0,0,0,0
G5300050011501,53005011501,G5300050011501,53005011501,0.9965284421,1,1,1,1,1,1,1
G5300050011501,53005011501,G5300050011506,53005011506,0.0005354633,0,0,0,0,0,0,0
G5300050011501,53005011501,G5300210020101,53021020101,0,0,0,0,0,0,0,0
G5300050011503,53005011503,G5300050011501,53005011501,0.0000403682,0.0000019048,0.000002631,0.000003468,0.0000026291,0.0000025495,0.0000030689,0
G5300050011503,53005011503,G5300050011504,53005011504,0.0000574412,0,0,0,0,0,0,0
G5300050011503,53005011503,G5300050011505,53005011505,0.0461100074,0.4326226013,0.4570755412,0.4223602484,0.4888169511,0.4942922374,0.4397114394,0.7823408624
G5300050011503,53005011503,G5300050011506,53005011506,0.9537921832,0.5673754939,0.5429218278,0.5776362836,0.5111804198,0.505705213,0.5602854917,0.2176591376
G5300050011504,53005011504,G5300050011504,53005011504,0.9987389037,1,1,1,1,1,1,1
G5300050011504,53005011504,G5300050011506,53005011506,0.0012610963,0,0,0,0,0,0,0
G5300050011600,53005011600,G5300050011600,53005011600,0.9999811701,1,1,1,1,1,1,1
G5300050011600,53005011600,G5300390950101,53039950101,0.0000164026,0,0,0,0,0,0,0
G5300050011600,53005011600,G5300770002701,53077002701,0.0000024272,0,0,0,0,0,0,0
G5300050011700,53005011700,G5300050011701,53005011701,0.4248316011,0.3159977388,0.316496945,0.3088737201,0.3128019324,0.3134328358,0.3333333333,0.2708333333
G5300050011700,53005011700,G5300050011702,53005011702,0.5746329983,0.6840022612,0.683503055,0.6911262799,0.6871980676,0.6865671642,0.6666666667,0.7291666667
G5300050011700,53005011700,G5300050011801,53005011801,0.0005354006,0,0,0,0,0,0,0
